product_id,default_code,product_name,category_name,active
8205,FG-PSK-TH-01002,"Poy-Sian Inhaler with keyholder (Nigeria) 10*6 (5dz)
( Each carton contains 14 units ) ",All / FG / ยาดม PS (พวงกุญแจ),True
8580,FG-PSK-TH-02001,ยาดมโป๊ยเซียนพวงกุญแจ กล่อง 5โหล,All / FG / ยาดม PS (พวงกุญแจ),True
8581,FG-PSK-TH-03001,ยาดมโป๊ยเซียนพวงกุญแจ สีชมพูสะท้อนแสง,All / FG / ยาดม PS (พวงกุญแจ),True
8582,FG-PSK-TH-03002,ยาดมโป๊ยเซียนพวงกุญแจ สีม่วง,All / FG / ยาดม PS (พวงกุญแจ),True
8583,FG-PSK-TH-03003,ยาดมโป๊ยเซียนพวงกุญแจ สีชมพู,All / FG / ยาดม PS (พวงกุญแจ),True
8584,FG-PSK-TH-03004,ยาดมโป๊ยเซียนพวงกุญแจ สีฟ้า,All / FG / ยาดม PS (พวงกุญแจ),True
8585,FG-PSK-TH-03005,ยาดมโป๊ยเซียนพวงกุญแจ สีเหลือง,All / FG / ยาดม PS (พวงกุญแจ),True
8586,FG-PSK-TH-03006,ยาดมโป๊ยเซียนพวงกุญแจ สีเขียว,All / FG / ยาดม PS (พวงกุญแจ),True
8225,FG-PSS-CN-01001,ยาดมโป๊ยเซียน (10x6) 5โหล จีน,All / FG / ยาดมตราโป๊ยเซียน,True
8233,FG-PSS-CN-01002,ยาดมโป๊ยเซียน (1x6) แผง จีน,All / FG / ยาดมตราโป๊ยเซียน,True
8229,FG-PSS-DE-01001,"Poy-Sian Aroma Oil Stick (Germany) 10*6 (5dz)
( Each carton contains 20 units ) ",All / FG / ยาดมตราโป๊ยเซียน,True
8605,FG-PSS-DE-02001,ยาดมโป๊ยเซียน 5โหล เยอรมัน,All / FG / ยาดมตราโป๊ยเซียน,True
8606,FG-PSS-DE-03001,ยาดมโป๊ยเซียน แผง เยอรมัน,All / FG / ยาดมตราโป๊ยเซียน,True
8607,FG-PSS-DE-04001,ยาดมโป๊ยเซียนสีชมพูสะท้อนแสง เยอรมัน,All / FG / ยาดมตราโป๊ยเซียน,True
8608,FG-PSS-DE-04002,ยาดมโป๊ยเซียนสีม่วง เยอรมัน,All / FG / ยาดมตราโป๊ยเซียน,True
8609,FG-PSS-DE-04003,ยาดมโป๊ยเซียนชมพู เยอรมัน,All / FG / ยาดมตราโป๊ยเซียน,True
8610,FG-PSS-DE-04004,ยาดมโป๊ยเซียนฟ้า เยอรมัน,All / FG / ยาดมตราโป๊ยเซียน,True
8611,FG-PSS-DE-04005,ยาดมโป๊ยเซียนเหลือง เยอรมัน,All / FG / ยาดมตราโป๊ยเซียน,True
8612,FG-PSS-DE-04006,ยาดมโป๊ยเซียนเขียว เยอรมัน,All / FG / ยาดมตราโป๊ยเซียน,True
8383,FG-PSS-HG-01001,ไม้แขวนเสื้อPS (12x1) A,All / FG / ไม้แขวนเสื้อ,True
8384,FG-PSS-HG-01002,ไม้แขวนเสื้อPS (12x1) B,All / FG / ไม้แขวนเสื้อ,True
8385,FG-PSS-HG-01003,ไม้แขวนเสื้อPS (12x1) C,All / FG / ไม้แขวนเสื้อ,True
8228,FG-PSS-LA-01001,ยาดมโป๊ยเซียน(10x6) 5โหล ลาว,All / FG / ยาดมตราโป๊ยเซียน,True
8227,FG-PSS-MM-01001,"Poy-Sian Brand Mark II Inhaler  (Myanmar) 10*6 (5dz)
( Each carton contains 20 units ) ",All / FG / ยาดมตราโป๊ยเซียน,True
8603,FG-PSS-MM-02001,ยาดมโป๊ยเซียน 5โหล พม่า,All / FG / ยาดมตราโป๊ยเซียน,True
8604,FG-PSS-MM-03002,ยาดมโป๊ยเซียน แผง พม่า,All / FG / ยาดมตราโป๊ยเซียน,True
8226,FG-PSS-MY-01001,Poy-Sian Brand Mark II Inhaler  (Malaysia) 10*6 (5dz) MAL 20106012X ( Each carton contains 20 units ) ,All / FG / ยาดมตราโป๊ยเซียน,True
8595,FG-PSS-MY-02001,ยาดมโป๊ยเซียน 5โหล มาเลเซีย,All / FG / ยาดมตราโป๊ยเซียน,True
8596,FG-PSS-MY-03001,ยาดมโป๊ยเซียน แผง มาเลเซีย,All / FG / ยาดมตราโป๊ยเซียน,True
8597,FG-PSS-MY-04001,ยาดมโป๊ยเซียนสีชมพูสะท้อนแสง มาเลเซีย,All / FG / ยาดมตราโป๊ยเซียน,True
8598,FG-PSS-MY-04002,ยาดมโป๊ยเซียนสีม่วง มาเลเซีย,All / FG / ยาดมตราโป๊ยเซียน,True
8599,FG-PSS-MY-04003,ยาดมโป๊ยเซียนชมพู มาเลเซีย,All / FG / ยาดมตราโป๊ยเซียน,True
8600,FG-PSS-MY-04004,ยาดมโป๊ยเซียนฟ้า มาเลเซีย,All / FG / ยาดมตราโป๊ยเซียน,True
8601,FG-PSS-MY-04005,ยาดมโป๊ยเซียนเหลือง มาเลเซีย,All / FG / ยาดมตราโป๊ยเซียน,True
8602,FG-PSS-MY-04006,ยาดมโป๊ยเซียนเขียว มาเลเซีย,All / FG / ยาดมตราโป๊ยเซียน,True
8035,FG-PSS-PB-01001,Piggy Bank - Poysian,All / FG / กระปุกออมสิน,True
8034,FG-PSS-PB-01002,Piggy Bank - Mark II,All / FG / กระปุกออมสิน,True
8570,FG-PSS-PB-02001,กระปุกออมสิน ฉลาก PS,All / FG / กระปุกออมสิน,True
8571,FG-PSS-PB-03001,กระปุกออมสิน,All / FG / กระปุกออมสิน,True
8223,FG-PSS-TH-01001,ยาดมโป๊ยเซียน (1x6) แผง,All / FG / ยาดมตราโป๊ยเซียน,True
8215,FG-PSS-TH-01002,Poy-Sian Brand Mark II Inhaler  (Thai Label) 10*6 (5dz)( Each carton contains 20 units ),All / FG / ยาดมตราโป๊ยเซียน,True
8216,FG-PSS-TH-01003,ยาดมโป๊ยเซียน (2x6) 70โหล ลังยาว,All / FG / ยาดมตราโป๊ยเซียน,True
8217,FG-PSS-TH-01004,ยาดมโป๊ยเซียน (4x6) 100โหล 7-11,All / FG / ยาดมตราโป๊ยเซียน,True
8224,FG-PSS-TH-01005,"Poy-Sian Brand Mark II Inhaler  (Thai Label) 10*6 (5dz)
( Each carton contains 16 units )",All / FG / ยาดมตราโป๊ยเซียน,True
8230,FG-PSS-TH-01006,ยาดมโป๊ยเซียน (4x6) 100โหล KP,All / FG / ยาดมตราโป๊ยเซียน,True
8379,FG-PSS-TH-01006,ยาดมโป๊ยเซียน (1*1) หลอดเดี่ยว,All / FG / ยาดมตราโป๊ยเซียน,True
8214,FG-PSS-TH-01007,ยาดมโป๊ยเซียน (10x6) 50+20โหล,All / FG / ยาดมตราโป๊ยเซียน,True
8213,FG-PSS-TH-01008,ยาดมโป๊ยเซียน (10x6) 14กล่อง,All / FG / ยาดมตราโป๊ยเซียน,True
8591,FG-PSS-TH-02001,ยาดมโป๊ยเซียนกล่อง 5 โหล ,All / FG / ยาดมตราโป๊ยเซียน,True
8592,FG-PSS-TH-02002,ยาดมโป๊ยเซียนกล่อง 2 โหล ไม่หุ้ม,All / FG / ยาดมตราโป๊ยเซียน,True
8593,FG-PSS-TH-02003,ยาดมโป๊ยเซียนกล่อง 2 โหล หุ้ม,All / FG / ยาดมตราโป๊ยเซียน,True
8594,FG-PSS-TH-02004,ยาดมโป๊ยเซียนถุงโหล,All / FG / ยาดมตราโป๊ยเซียน,True
8011,FG-PSS-TH-02005,ยาดมโป๊ยเซียน (1x1) 6ชิ้น กล่องขาว,All / FG / ยาดมตราโป๊ยเซียน,True
8556,FG-PSS-TH-03001,ยาดมโป๊ยเซียนแผง,All / FG / ยาดมตราโป๊ยเซียน,True
8557,FG-PSS-TH-04001,ยาดมโป๊ยเซียนชมพูสะท้อนแสง,All / FG / ยาดมตราโป๊ยเซียน,True
8558,FG-PSS-TH-04002,ยาดมโป๊ยเซียนม่วง,All / FG / ยาดมตราโป๊ยเซียน,True
8559,FG-PSS-TH-04003,ยาดมโป๊ยเซียนชมพู,All / FG / ยาดมตราโป๊ยเซียน,True
8560,FG-PSS-TH-04004,ยาดมโป๊ยเซียนฟ้า,All / FG / ยาดมตราโป๊ยเซียน,True
