External ID,Vendor / External ID,Order Reference,Order Date,Currency / Name,Order Lines / External ID,Order Lines / Product / External ID,Order Lines / Description,Order Lines / Quantity,Order Lines / Unit Price,Order Lines / Expected Arrival
mig_po_PO2600117,__export__.res_partner_70660_58cd9b28,PO2600117,,THB,mig_po_line_PO2600117_56,__export__.product_template_11623_43c763ab,"บริการเสริม Zebra OneCare,Essential สำหรับ Zebra ET4010A",7.0,9200.0,
mig_po_PO2600126,__export__.res_partner_71184_f6dddec3,PO2600126,2026-02-28,THB,mig_po_line_PO2600126_37,__export__.product_template_11623_43c763ab,ผลิต - การ์ดเกม,2000.0,5.6,2026-02-28
mig_po_PO2600126,__export__.res_partner_71184_f6dddec3,PO2600126,2026-02-28,THB,mig_po_line_PO2600126_38,__export__.product_template_11623_43c763ab,ผลิต - สไลด์แพ็ค,5000.0,3.4,2026-02-28
mig_po_PO2600131,__export__.res_partner_71020_f128c727,PO2600131,,THB,mig_po_line_PO2600131_33,__export__.product_template_11623_43c763ab,SV_CONTRACT6SERVICE CONTRACT 6 TIMES/YEAR,1.0,4000.0,
mig_po_PO2600134,__export__.res_partner_70818_e98ac2c3,PO2600134,,THB,mig_po_line_PO2600134_30,__export__.product_template_11623_43c763ab,ค่าแก้ไขแม่พิมพ์ Capseal 3 ccLot No. FA00326Mfg Date 180326Exp Date  180329,1.0,2900.0,
mig_po_PO2600135,__export__.res_partner_71144_cb7e4600,PO2600135,,THB,mig_po_line_PO2600135_29,__export__.product_template_11623_43c763ab,ค่าบริการสัญญาเครื่องปรับอากาศ-ห้องสุ่มตัวอย่างวัตถุดิบ/ห้องวัตถุดิบ/ห้อง LABวันที่ทำสัญญา 26/03/2026 อ้างอิงสัญญาเลขที่ RRS2024010,1.0,21420.0,
mig_po_PO2600135,__export__.res_partner_71144_cb7e4600,PO2600135,,THB,mig_po_line_PO2600135_28,__export__.product_template_11623_43c763ab,ค่าบริการสัญญาเครื่องปรับอากาศ-แผนกพลาสติก/ห้องพิมพ์/ห้องประกอบ/ห้องวิศวะวันที่ทำสัญญา 01/01/2026 อ้างอิงสัญญาเลขที่ RRS2026012,1.0,51000.0,
mig_po_PO2600135,__export__.res_partner_71144_cb7e4600,PO2600135,,THB,mig_po_line_PO2600135_27,__export__.product_template_11623_43c763ab,ค่าบริการสัญญาเครื่องปรับอากาศออฟฟิศชั้นนอก/ออฟฟิศชั้นใน/คลังสินค้าโรงงานยา/โรงงานยาชั้น1/ตึก4ชั้น+ห้องช่าง/โรงงานชั้น2/ภายนอกอาคารวันที่ทำสัญญา 01/01/2026 อ้างอิงสัญญาเลขที่ RRS2026010,1.0,92820.0,
mig_po_PO2600136,__export__.res_partner_70591_0122da92,PO2600136,,THB,mig_po_line_PO2600136_26,__export__.product_template_11674_90f20a59,หน้าจอสัมผัสเครื่อง 7 Inch (เปลี่ยนจอใหม่),1.0,5000.0,
mig_po_PO2600136,__export__.res_partner_70591_0122da92,PO2600136,,THB,mig_po_line_PO2600136_25,__export__.product_template_11674_90f20a59,อะไหล่ bitVisitor SN : BP23061347 (PM),1.0,4500.0,
mig_po_PO2600143,__export__.res_partner_70696_ca719f2f,PO2600143,,THB,mig_po_line_PO2600143_14,__export__.product_template_11677_06b461fa,LHT-150001  soild tire 15x4.5-8 EZ (black tyre),2.0,3500.0,
mig_po_PO2600143,__export__.res_partner_70696_ca719f2f,PO2600143,,THB,mig_po_line_PO2600143_15,__export__.product_template_11677_06b461fa,Service charge and Transportation,1.0,2500.0,
