PO Number,Vendor Ref,Vendor Name,Vendor ID (DB),Product Code,Product Name,Product Template ID (DB),Open Qty,Unit Price,Source Currency,Odoo Currency,Delivery Date
PO2600091,608,บริษัท เค.ที. ซัพพอร์ท แอนด์ เปเปอร์ จำกัด,70827.0,900023,ค่าบริการพิมพ์สลิปเงินเดือนพนักงานรายวัน,8114.0,11.0,2000.0,THB,THB,
PO2600070,859,บริษัท ซินเทค กรุ๊ป จำกัด,70485.0,900001,ค่าบริการสอบเทียบTV System Melting Point MP80Serial Number : B901042038Full Preventive Maintenance OnSite EABrand : Mettler Toledo,8630.0,1.0,21000.0,THB,THB,
PO2600063,755,บริษัท ทริปเปิล วี บรอดคาสท์ จำกัด,70530.0,900011,"1.1 รายการไทนรัฐนิวส์โชว์ (ช่อง2) เบรก 3 : Product Placement จำนวน 12 เดือน- VTR ความยาว 5 วินาที / Placement เบรก 3 / Logo End Credit1.2 กิจกรรมไทยรัฐแฟร์ ปี 2569 : รูปแบบ Co Sponsor จำนวน 3 ครั้ง- ครั้งที่ 1 : วันที่ 12-15 มันาคม 69 สถานที่ เดอะมอลล์ บางแค- ครั้งที่ 2 : สถานที่ ฟิวเจอร์ปาร์ค รังสิต (TBC)- ครั้งที่ 3 : สถานที่ เดอะมอลล์ บางกะปิ (TBC)Sponsor Benefits : On Ground1.พื้นที่ Booth สำหรับขายสินค้าหรือจัดกิจกรรม 6x3m.- Logo สินค้าบนเวที, Logo สินค้า ขนาด 30x30 cm.- Logo บน Awchway หน้าทางเข้างาน ขนาด 30x30 cm.2.Live บรรยากาศงาน (Facebook หรือ Tiktok)- พิธีกรร่วมประชาสัมพันธ์ที่บูธผู้สนับสนุน ช่วง Live ครั้งละ 5 นาที จำนวน 2 ครั้ง/กิจกรรมSponsor Benefits : Thairath Online - Pre Promote- Logo ผู้สนับสนุนในภาพ Key Visual Promote งาน (ทุกช่องทาง)- Logo ผู้สนับสนุนบน Page Graphic พร้อมพูดประชาสัมพันธ์งาน ในช่องไทยรัฐทีวี- Logo คาดท้าย Spot Promote งาน (ทุกช่องทาง)Sponsor Benefits : Thairath Online - Post Promote- Photo ภามรวมบรรยากาศในงาน บน Soci",8120.0,10.0,550000.0,THB,THB,
PO2600063,755,บริษัท ทริปเปิล วี บรอดคาสท์ จำกัด,70530.0,900011,"1.1 รายการไทนรัฐนิวส์โชว์ (ช่อง2) เบรก 3 : Product Placement จำนวน 12 เดือน- VTR ความยาว 5 วินาที / Placement เบรก 3 / Logo End Credit1.2 กิจกรรมไทยรัฐแฟร์ ปี 2569 : รูปแบบ Co Sponsor จำนวน 3 ครั้ง- ครั้งที่ 1 : วันที่ 12-15 มันาคม 69 สถานที่ เดอะมอลล์ บางแค- ครั้งที่ 2 : สถานที่ ฟิวเจอร์ปาร์ค รังสิต (TBC)- ครั้งที่ 3 : สถานที่ เดอะมอลล์ บางกะปิ (TBC)Sponsor Benefits : On Ground1.พื้นที่ Booth สำหรับขายสินค้าหรือจัดกิจกรรม 6x3m.- Logo สินค้าบนเวที, Logo สินค้า ขนาด 30x30 cm.- Logo บน Awchway หน้าทางเข้างาน ขนาด 30x30 cm.2.Live บรรยากาศงาน (Facebook หรือ Tiktok)- พิธีกรร่วมประชาสัมพันธ์ที่บูธผู้สนับสนุน ช่วง Live ครั้งละ 5 นาที จำนวน 2 ครั้ง/กิจกรรมSponsor Benefits : Thairath Online - Pre Promote- Logo ผู้สนับสนุนในภาพ Key Visual Promote งาน (ทุกช่องทาง)- Logo ผู้สนับสนุนบน Page Graphic พร้อมพูดประชาสัมพันธ์งาน ในช่องไทยรัฐทีวี- Logo คาดท้าย Spot Promote งาน (ทุกช่องทาง)Sponsor Benefits : Thairath Online - Post Promote- Photo ภามรวมบรรยากาศในงาน บน Soci",8120.0,1.0,450000.0,THB,THB,
PO2600062,656,บริษัท รูท มีเดีย จำกัด,70695.0,900023,1.ราคาค่าผลิต + ค่าขนส่ง เก้าอี้อัลลอยอลูมิเนียมลายไม้ (แบบ Outdoor) รายชื่อดังนี้1. สวนสาธารณะหนองประจักษ์2. สวนสาธารณะหนองบัว3. สวนสาธารณะหนองสิมวัสดุ : ขาม้านั่ง และพนักพิง ทำจากเหล็กหล่อขึ้นรูปจากแม่พิมพ์- ตัวขาม้านั่งอัลลอย ทำ สีเขียว- ฐานที่นั่งเป็น เส้นอลูมิเนียมลายไม้ สีน้ำตาล- โลโก้ เป็นอัลลอยหล่อขึ้นรูป / ทำ สีขาวระยะเวลาการผลิต : 30 วันขนาด : กล้าง 120 cm. x สูง 80 cm. x ลึก 40 cm.,8114.0,50.0,13900.0,THB,THB,
PO2600062,656,บริษัท รูท มีเดีย จำกัด,70695.0,900023,2. ราคาค่าผลิต + ค่าขนส่ง เก้าอี้โรงพยาบาล (แบบ Idoor)1. โรงพยาบาลเทศบาล และศูนย์บริการสาธารณสุขวัสดุ : ขึ้นรูปโครงสร้างโดยเหล็กกล่อง ขนาด 2 x 1 นิ้ว หนา 1.2 มิลลิเมตร- ฐานที่นั่งเป็นคอมโพสิต ขนาด 40 x 120 ซม. หนา 4 มิลลิเมตร- พนักพิงเป็นแผ่นคอมโพสิต ขนาด 35 x 120 ซม. / หนา 3 มิลลิเมตร / เอียง 15 องศา- พนักพิงติดสติ๊กเกอร์ inkjet เคลือบด้าน ชนิด Outdoor ความละเอียด 1440 Dpi.- พ่นสีกันสนิม และพ่นสีอุตสาหกรรม ชนิด outdoor สีเขียว- ใส่น็อตปรับระดับระยะเวลาการผลิต : 1 เดือนขนาด : กว้าง 120 cm. x สูง 80 cm. x ลึก 40 cm. หมายเหตุ : ราคาดังกล่างรวมค่าขนส่ง / ค่าแรงทีมงาน / ค่าน้ำมัน / ค่าที่พัก และค่าใช้จ่ายด้านการเดินทาง (ตั๋วเครื่องบิน) และค่าอาหารสำหรับลูกค้า จำนวน 2 ท่าน เรียบร้อยแล้ว,8114.0,20.0,3900.0,THB,THB,
PO2600061,656,บริษัท รูท มีเดีย จำกัด,70695.0,900023,ราคาค่าผลิต + ค่าขนส่ง เก้าอี้โรงพยาบาล ประจำปี 2569 (แนบ Indoor) รายชื่อจังหวัด ดังนี้1.จังหวัดสิงห์บุรี จำนวน 250 ตัว2.จังหวัดอ่างทอง จำนวน 133 ตัว3.จังหวัดแพร่ จำนวน 192 ตัว4.จังหวัดเลย จำนวน 270 ตัว5.จังหวัดชลบุรี จำนวน 360 ตัว6.จังหวัดกาฬสินธุ์ จำนวน 487 ตัว7.จังหวัดฉะเชิงเทรา จำนวน 200 ตัว8.จังหวัดเพชรบูรณ์ จำนวน 120 ตัว9.จังหวัดกาญจนบุรี จำนวน 170 ตัววัสดุ : ขึ้นรูปโครงสร้างโดยเหล็กกล่อง ขนาด 2 x 1 นิ้ว หนา 1.2 มิลลิเมตร- ฐานที่นั่งเป็นคอมโพสิต ขนา 40 x 120 ซม. หนา 4 มิลลิเมตร- พนักพิงเป็นแผ่นคอมโพสิต ขนาด 35 x 120 ซม. / หนา 3 มิลลิเมตร / เอียง 15 องศา- พนักพิงสติ๊กเกอร์ inkjet เคลือบด้าน ชนิด Outdoor ความละเอียด 1440 Dpi.- พ่นสีกันสนิม และพ่นสีอุตสาหกรรม ชนิด outdoor สีเขียว- ใส่น็อตปรับระดับระยะเวลาการผลิต : 5 เดือนขนาด : กว้าง 120 cm. x สูง 80 cm. x ลึก 40 cm.,8114.0,2182.0,3900.0,THB,THB,
PO2600055,121,บริษัท ตลิ่งไทยพัฒนา จำกัด,70527.0,900023,สัญญาบริการตรวจเช็คเครื่องจักร 4 ครั้ง/ปี1.เครื่องซัก RX240 s/n.240RX005554MM2.เครื่องอบ T24-E s/n.24T009233KYR3.เครื่องซัก PC60-E s/n.2208600135,8114.0,4.0,4000.0,THB,THB,
PO2600054,629,นาย บรรพต รักษณรงค์,70361.0,900036,1.รวมราคางานทางเข้า2.รวมราคางานห้องบรรจุพิมเสน3.รวมราคางานทางเดินหลังลิฟท์ไปห้องประกอบพิมเสน4.รวมราคางานห้องประกอบพิมเสน5.รวมราคางานห้องเปลี่ยนชุดด้านหลัง6.รวมราคางานห้องเก็บชิ้นส่วนและทางเดิน7.รวมราคางานห้องเครื่องที่ 78.รวมราคางานห้องล้างเครื่องมือ9.รวมราคางานห้องบรรจุพิมเสนน้ำสำลี10รวมราคางานทางเดินหน้าลิฟท์หน้าห้องผสม11.รวมราคางานห้องชุบยา,8168.0,1.0,414538.85,THB,THB,
PO2600049,615,บริษัท อุตสาหกรรม วินิลเทค จำกัด,70818.0,900023,ค่าบล็อค แคปซีล8ccLot No. FC00226Mfg Date 020326Exp Date  020329,8114.0,1.0,2600.0,THB,THB,
