Product ID,Product,Routes
8264,[SM-MTS-TW-02002] ชิ้นส่วนยาดม MarkII Taiwan ตัวล่าง+หลอดน้ำ,"Manufacture (Plastic), Auto Transfer Semi (Pharma), Replenish on Order (MTO)"
8267,[SM-MTS-XX-03003] ชิ้นส่วนยาดม MarkII ตัวบน,"Auto Transfer Semi (Pharma), Manufacture (Plastic)"
8268,[SM-MTS-XX-02003] ชิ้นส่วนยาดม MarkII ตัวบน+ตัวกลาง,"Auto Transfer Semi (Pharma), Manufacture (Plastic)"
8257,[SM-MTS-XX-03004] ชิ้นส่วนยาดม MarkII ตัวล่าง,"Auto Transfer Semi (Pharma), Manufacture (Plastic)"
8258,[SM-MTS-XX-02004] ชิ้นส่วนยาดม MarkII ตัวล่าง+หลอดน้ำ,"Auto Transfer Semi (Pharma), Manufacture (Plastic)"
8271,[SM-PAS-XX-03001] ชิ้นส่วนยาดม PAX 2way ตัวบน,"Manufacture (Plastic), Auto Transfer Semi (Pharma)"
8272,[SM-PAS-XX-02001] ชิ้นส่วนยาดม PAX 2way ตัวบน+ตัวกลาง,"Manufacture (Plastic), Auto Transfer Semi (Pharma)"
8270,[SM-PAS-XX-02002] ชิ้นส่วนยาดม PAX 2way ตัวล่าง+หลอดน้ำ,"Manufacture (Plastic), Auto Transfer Semi (Pharma)"
8275,[SM-PAK-XX-03001] ชิ้นส่วนยาดม PAX 2way-Key ตัวบน,"Auto Transfer Semi (Pharma), Manufacture (Plastic)"
8276,[SM-PAK-XX-02001] ชิ้นส่วนยาดม PAX 2way-Key ตัวบน+ตัวกลาง,"Auto Transfer Semi (Pharma), Manufacture (Plastic)"
8274,[SM-PAK-XX-03002] ชิ้นส่วนยาดม PAX 2way-Key ตัวล่าง,"Manufacture (Plastic), Auto Transfer Semi (Pharma)"
8290,[SM-PSK-TH-03001] ชิ้นส่วนยาดม PS Key ตัวบน,"Auto Transfer Semi (Pharma), Manufacture (Plastic)"
8291,[SM-PSK-TH-02001] ชิ้นส่วนยาดม PS Key ตัวบน+ตัวกลาง,"Manufacture (Plastic), Auto Transfer Semi (Pharma)"
8288,[SM-PSK-TH-03002] ชิ้นส่วนยาดม PS Key ตัวล่าง,"Auto Transfer Semi (Pharma), Manufacture (Plastic)"
8289,[SM-PSK-TH-02002] ชิ้นส่วนยาดม PS Key ตัวล่าง+หลอดน้ำ,"Auto Transfer Semi (Pharma), Manufacture (Plastic)"
8307,[SM-PSS-TH-03001] ชิ้นส่วนยาดม PS ตัวบน,"Manufacture (Plastic), Auto Transfer Semi (Pharma)"
8322,[SM-PSS-CN-03001] ชิ้นส่วนยาดม PS ตัวบน จีน,"Auto Transfer Semi (Pharma), Manufacture (Plastic)"
8321,[SM-PSS-MY-03001] ชิ้นส่วนยาดม PS ตัวบน มาเลเซีย,"Auto Transfer Semi (Pharma), Manufacture (Plastic)"
8323,[SM-PSS-DE-03001] ชิ้นส่วนยาดม PS ตัวบน เยอรมัน,"Manufacture (Plastic), Auto Transfer Semi (Pharma), Replenish on Order (MTO)"
